Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
GO:0005201	extracellular matrix structural constituent	 42	1.28367301096598e-06	0.00183629424218683	31	11	1590	2739	1.99026174319203
GO:0005212	structural constituent of eye lens	  7	0.800202785632254	1	2	5	1619	2745	0.770423900590465
GO:0005216	ion channel activity	 35	0.97643285898993	1	8	27	1613	2723	0.616339120472372
GO:0005230	extracellular ligand-gated ion channel activity	 11	0.837750994012784	1	3	8	1618	2742	0.735404632381807
GO:0005243	gap junction channel activity	  5	0.268307979032342	0.874292856505159	3	2	1618	2748	1.61789019123998
GO:0005244	voltage-gated ion channel activity	 33	0.599420754318958	1	12	21	1609	2729	0.980539509842409
GO:0005245	voltage-gated calcium channel activity	 15	0.302496509430501	0.928961961772567	7	8	1614	2742	1.25835903763109
GO:0005246	calcium channel regulator activity	  6	0.0289935828529927	0.448381840769795	5	1	1616	2749	2.24706971005552
GO:0005248	voltage-gated sodium channel activity	  6	0.938108378346802	1	1	5	1620	2745	0.449413942011104
GO:0005249	voltage-gated potassium channel activity	 10	0.781377725261973	1	3	7	1618	2743	0.808945095619988
GO:0005251	delayed rectifier potassium channel activity	  5	0.901559628365078	1	1	4	1620	2746	0.539296730413325
GO:0005254	chloride channel activity	 14	0.231314488765893	0.874292856505159	7	7	1614	2743	1.34824182603331
GO:0005261	cation channel activity	  7	0.800202785632254	1	2	5	1619	2745	0.770423900590465
GO:0005262	calcium channel activity	 24	0.0656020930484379	0.528541035757744	13	11	1608	2739	1.46059531153609
GO:0005267	potassium channel activity	 19	0.88976193662496	1	5	14	1616	2736	0.709600961070165
GO:0005328	neurotransmitter:sodium symporter activity	  5	0.268307979032342	0.874292856505159	3	2	1618	2748	1.61789019123998
GO:0005388	calcium transmembrane transporter activity, phosphorylative mechanism	  5	0.268307979032342	0.874292856505159	3	2	1618	2748	1.61789019123998
GO:0005452	inorganic anion exchanger activity	  5	0.901559628365078	1	1	4	1620	2746	0.539296730413325
GO:0005484	SNAP receptor activity	  5	0.901559628365078	1	1	4	1620	2746	0.539296730413325
GO:0005496	steroid binding	  6	0.938108378346802	1	1	5	1620	2745	0.449413942011104
GO:0005506	iron ion binding	 38	0.80800515667715	1	12	26	1609	2724	0.851521153284198
GO:0005507	copper ion binding	 17	0.135312010717701	0.710114109470648	9	8	1612	2742	1.42755016874115
GO:0005513	detection of calcium ion	  5	0.611006382880356	1	2	3	1619	2747	1.07859346082665
GO:0005516	calmodulin binding	 58	0.496421838546201	1	22	36	1599	2714	1.02280414388734
GO:0005518	collagen binding	 29	0.00535184270043937	0.215394602094389	18	11	1603	2739	1.67367950817928
GO:0005520	insulin-like growth factor binding	 11	0.00321305535630131	0.155805955497933	9	2	1612	2748	2.20621389714542
GO:0005522	profilin binding	  7	0.515348610516959	1	3	4	1618	2746	1.1556358508857
GO:0005523	tropomyosin binding	  8	0.131659634381745	0.710114109470648	5	3	1616	2747	1.68530228254164
