Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
R-MMU-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	 5	0.680448179322958	1	1	4	111	435	0.983928571428571
R-MMU-425407	SLC-mediated transmembrane transport	13	0.778418843356154	1	2	11	110	428	0.756868131868132
R-MMU-428157	Sphingolipid metabolism	 7	0.798195996756155	1	1	6	111	433	0.70280612244898
R-MMU-429914	Deadenylation-dependent mRNA decay	 5	1	1	0	5	112	434	0
R-MMU-4420097	VEGFA-VEGFR2 Pathway	 6	0.74599727074389	1	1	5	111	434	0.819940476190476
R-MMU-446203	Asparagine N-linked glycosylation	12	0.737402118115616	1	2	10	110	429	0.819940476190476
R-MMU-446652	Interleukin-1 family signaling	 5	1	1	0	5	112	434	0
R-MMU-448424	Interleukin-17 signaling	 5	1	1	0	5	112	434	0
R-MMU-449147	Signaling by Interleukins	14	0.813768449805714	1	2	12	110	427	0.70280612244898
R-MMU-450294	MAP kinase activation	 5	1	1	0	5	112	434	0
R-MMU-450531	Regulation of mRNA stability by proteins that bind AU-rich elements	 5	1	1	0	5	112	434	0
R-MMU-453274	Mitotic G2-G2/M phases	13	0.778418843356154	1	2	11	110	428	0.756868131868132
R-MMU-453276	Regulation of mitotic cell cycle	 7	0.152447241088298	1	3	4	109	435	2.10841836734694
R-MMU-4839726	Chromatin organization	11	0.919975814775639	1	1	10	111	429	0.44724025974026
R-MMU-500792	GPCR ligand binding	11	0.690162770028757	1	2	9	110	430	0.894480519480519
R-MMU-5357801	Programmed Cell Death	 5	0.680448179322958	1	1	4	111	435	0.983928571428571
R-MMU-5358351	Signaling by Hedgehog	10	0.636232013227692	1	2	8	110	431	0.983928571428571
R-MMU-556833	Metabolism of lipids	42	0.061521846633671	0.845115893230955	13	29	99	410	1.52274659863946
R-MMU-5576891	Cardiac conduction	 6	0.101807924020941	1	3	3	109	436	2.45982142857143
R-MMU-5610787	Hedgehog 'off' state	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-5617833	Cilium Assembly	21	0.835742972405556	1	3	18	109	421	0.70280612244898
R-MMU-5620912	Anchoring of the basal body to the plasma membrane	10	0.636232013227692	1	2	8	110	431	0.983928571428571
R-MMU-5620920	Cargo trafficking to the periciliary membrane	 7	1	1	0	7	112	432	0
R-MMU-5620924	Intraflagellar transport	 5	0.680448179322958	1	1	4	111	435	0.983928571428571
R-MMU-5621481	C-type lectin receptors (CLRs)	 5	1	1	0	5	112	434	0
R-MMU-5632684	Hedgehog 'on' state	 6	0.3527027222183	1	2	4	110	435	1.63988095238095
R-MMU-5633007	Regulation of TP53 Activity	13	0.778418843356154	1	2	11	110	428	0.756868131868132
R-MMU-5653656	Vesicle-mediated transport	35	0.874894622083418	1	5	30	107	409	0.70280612244898
R-MMU-5654736	Signaling by FGFR1	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-5663220	RHO GTPases Activate Formins	12	0.0197377005579826	0.429294987136121	6	6	106	433	2.45982142857143
R-MMU-5673001	RAF/MAP kinase cascade	13	0.778418843356154	1	2	11	110	428	0.756868131868132
R-MMU-5683057	MAPK family signaling cascades	17	0.706000199865538	1	3	14	109	425	0.868172268907563
R-MMU-5684996	MAPK1/MAPK3 signaling	14	0.813768449805714	1	2	12	110	427	0.70280612244898
R-MMU-5688426	Deubiquitination	24	0.972010713605333	1	2	22	110	417	0.409970238095238
R-MMU-5689880	Ub-specific processing proteases	14	0.960213319767921	1	1	13	111	426	0.35140306122449
R-MMU-5689896	Ovarian tumor domain proteases	 5	1	1	0	5	112	434	0
R-MMU-5693532	DNA Double-Strand Break Repair	11	0.690162770028757	1	2	9	110	430	0.894480519480519
R-MMU-5693538	Homology Directed Repair	 8	0.507360815610613	1	2	6	110	433	1.22991071428571
R-MMU-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	 6	0.74599727074389	1	1	5	111	434	0.819940476190476
R-MMU-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	 8	0.507360815610613	1	2	6	110	433	1.22991071428571
R-MMU-5693571	Nonhomologous End-Joining (NHEJ)	 7	0.798195996756155	1	1	6	111	433	0.70280612244898
R-MMU-5693606	DNA Double Strand Break Response	 6	0.74599727074389	1	1	5	111	434	0.819940476190476
